1	的	8302698	3.2074998098725	de/di2/di4	(possessive particle)/of, really and truly, aim/clear
2	一	3728398	4.6478552071336	yi1	one/1/single/a(n)
3	不	3083707	5.8391534593647	bu4/bu2	(negative prefix)/not/no
4	是	3017244	7.0047757132801	shi4	is/are/am/yes/to be
5	了	2588626	8.004814183044	le/liao3/liao4	(modal particle intensifying preceding clause)/(completed action marker), to know/to understand/to know, clear, look afar from a high place
6	人	2508086	8.9737384252775	ren2	man/person/people
7	在	2265802	9.8490634683188	zai4	(located) at/in/exist
8	有	2249248	10.717993367052	you3	to have/there is/there are/to exist/to be
9	我	1939038	11.467082881851	wo3	I/me/myself
10	他	1835410	12.176138808736	ta1	he/him
11	这	1735712	12.846679386027	zhe4/zhei4	this/these, this/these/(sometimes used before a measure word, especially in Beijing)
12	为	1484873	13.420315794961	wei2/wei4	act as/take...to be/to be/to do/to serve as/to become, because of/for/to
13	之	1459824	13.984275269634	zhi1	(literary equivalent of 的)/(subor. part.)/him/her/it
14	来	1441611	14.541198694816	lai2	to come
15	大	1414057	15.087477453678	da4/dai4	big/huge/large/major/great/wide/deep/oldest/eldest, doctor
16	以	1410167	15.632253427029	yi3	to use/according to/so as to/in order to/by/with/because/Israel (abbrev.)
17	个	1390372	16.169382192359	ge4	(a measure word)/individual
18	中	1383908	16.704013784028	zhong1/zhong4	within/among/in/middle/center/while (doing sth)/during/China/Chinese, hit (the mark)
19	上	1371195	17.233734087211	shang4	on/on top/upon/first (of two parts)/previous or last (week, etc.)/upper/higher/above/previous/to climb/to go into/above/to go up
20	们	1233633	17.710311413395	men	(plural marker for pronouns and a few animate nouns)
21	到	1122933	18.144123095332	dao4	to (a place)/until (a time)/up to/to go/to arrive
22	说	1109652	18.572804058921	shui4/shuo1	persuade (politically), to speak/to say
23	国	1104141	18.999356011982	guo2	country/state/nation
24	和	1088033	19.419685119536	he2/he4/huo2/huo4	and/together with/with/peace/harmony/union, cap (a poem)/respond in singing, soft/warm, mix together/to blend
25	地	1068947	19.83264092008	de/di4	(subor. part. adverbial)/-ly, earth/ground/field/place/land
26	也	1046455	20.23690760707	ye3	also/too
27	子	1035711	20.637023670015	zi3/zi	11 p.m.-1 a.m./1st earthly branch/child/midnight/son/child/seed/egg/small thing, (noun suff.)
28	时	1024324	21.032740705038	shi2	o'clock/time/when/hour/season/period
